product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_time_alt,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,total_cost,profit,delay_risk,stock_risk
cosmetics,SKU561,25.73,93,215,5737.299377,Male,181,55,23,11,Carrier A,5.8005970413,Supplier 3,Delhi,10,360,37,12.0294299377,Pass,0.271504375441382,Sea,Route C,734.420019,17.830026979,5719.4693500210005,0,1
haircare,SKU562,60.26,47,541,29360.29048,Female,8,24,24,4,Carrier A,1.6760607701,Supplier 5,Chennai,45,427,16,17.7782169203,Pending,4.494096539307919,Sea,Route B,267.24885,19.4542776904,29340.836202309598,1,1
cosmetics,SKU563,94.5,21,673,59402.814612,Female,50,15,104,6,Carrier B,13.6372833842,Supplier 3,Delhi,10,974,21,63.6564402462,Pending,1.446791129525163,Road,Route B,506.879659,77.2937236304,59325.5208883696,0,1
cosmetics,SKU564,12.21,48,381,5076.197763,Male,147,15,78,13,Carrier C,10.2935466026,Supplier 5,Chennai,10,75,46,12.0253894686,Pass,3.908967529792049,Rail,Route A,918.599886,22.3189360712,5053.8788269288,0,1
haircare,SKU565,52.35,41,293,15465.354967,Female,60,14,77,5,Carrier B,17.6841887427,Supplier 4,Chennai,42,1161,47,63.5349442499,Pass,4.081117726170995,Rail,Route C,449.309311,81.21913299260001,15384.135834007398,1,1
haircare,SKU566,82.74,49,277,21392.831109,Male,14,42,72,4,Carrier C,5.8828429709,Supplier 1,Chennai,56,368,13,69.0531482663,Pending,2.431550778379889,Air,Route B,539.040554,74.9359912372,21317.8951177628,1,1
haircare,SKU567,22.18,92,336,7368.994658,Non-binary,1,46,158,6,Carrier C,7.247234287,Supplier 4,Chennai,13,261,32,34.297627317,Pending,4.42622646949082,Road,Route A,824.177528,41.544861604,7327.449796395999,0,1
haircare,SKU568,70.96,69,15,1100.748664,Male,2,38,13,8,Carrier C,13.4536156734,Supplier 5,Delhi,15,214,5,41.2993087844,Pass,3.280362165322632,Road,Route C,777.528095,54.7529244578,1045.9957395422,0,1
cosmetics,SKU569,84.51,89,320,27749.764126,Non-binary,183,57,83,4,Carrier A,8.9445003961,Supplier 5,Chennai,5,363,23,30.9747869186,Pending,4.79205515554212,Road,Route C,679.623793,39.9192873147,27709.844838685298,0,1
haircare,SKU570,76.78,92,441,37151.627032,Unknown,59,34,105,13,Carrier A,17.3843634124,Supplier 3,Kolkata,26,466,42,46.8324616407,Pass,4.046798970572406,Rail,Route B,554.387334,64.2168250531,37087.41020694689,0,1
cosmetics,SKU571,39.16,24,333,12826.760237,Female,184,49,107,8,Carrier A,18.616922831,Supplier 1,Bangalore,16,198,15,79.1170082029,Pending,2.502750319715237,Road,Route A,504.02055,97.73393103389999,12729.026305966101,0,1
skincare,SKU572,28.11,16,778,23533.513448,Female,133,19,196,5,Carrier C,11.5292247106,Supplier 2,Delhi,42,832,27,32.7000820808,Pending,4.736381378048536,Road,Route C,292.758627,44.2293067914,23489.2841412086,1,1
haircare,SKU573,32.67,74,531,18076.144135,Female,86,20,22,13,Carrier C,4.3476937171,Supplier 1,Kolkata,32,516,8,68.3674324142,Pass,3.034949245515556,Air,Route B,692.455405,72.7151261313,18003.429008868698,1,1
haircare,SKU574,6.03,74,342,2105.880713,Male,199,20,85,3,Carrier A,18.6301119674,Supplier 2,Mumbai,37,1287,48,55.3978935744,Pending,2.521063843842981,Road,Route A,825.373116,74.0280055418,2031.8527074582,1,1
haircare,SKU575,61.45,99,874,57429.872945,Non-binary,43,28,174,9,Carrier A,13.9718186581,Supplier 2,Bangalore,37,335,16,84.8972037077,Fail,3.331920021933131,Road,Route B,355.693734,98.8690223658,57331.003922634205,1,1
haircare,SKU576,68.18,72,448,33461.195205,Female,77,28,139,9,Carrier C,2.7066892989,Supplier 5,Bangalore,39,584,50,48.8659323081,Pass,2.587567086842419,Air,Route C,532.651111,51.572621607,33409.622583393,1,1
cosmetics,SKU577,69.59,44,997,65175.804517,Male,27,27,63,10,Carrier C,5.3794019097,Supplier 1,Chennai,34,397,35,90.8775035471,Pass,4.022505137845047,Rail,Route A,334.925799,96.25690545680001,65079.547611543196,1,1
skincare,SKU578,90.78,95,487,44125.387866,Non-binary,191,55,15,5,Carrier B,3.1102027624,Supplier 4,Kolkata,34,101,56,37.7974809313,Fail,2.836553988582267,Air,Route A,205.340565,40.9076836937,44084.480182306295,1,1
haircare,SKU579,14.65,58,261,4178.961036,Female,179,20,121,8,Carrier B,10.5063394578,Supplier 2,Mumbai,33,1294,23,54.340689728,Pass,0.743075456024406,Air,Route B,296.914916,64.8470291858,4114.1140068141995,1,1
skincare,SKU580,23.83,80,813,19781.971065,Non-binary,77,14,181,1,Carrier A,14.4769716013,Supplier 5,Bangalore,11,1233,52,40.8039033511,Pass,4.964091851148212,Road,Route C,890.677674,55.2808749524,19726.6901900476,0,1
haircare,SKU581,60.28,45,829,48887.267959,Female,127,51,85,8,Carrier C,1.157040661,Supplier 2,Chennai,43,1009,59,36.3197624131,Pending,3.918850092703857,Road,Route A,868.266936,37.476803074100005,48849.791155925894,1,1
haircare,SKU582,79.48,100,402,29940.681115,Female,120,32,158,10,Carrier A,10.9860081072,Supplier 5,Mumbai,13,137,48,49.6688722908,Pending,2.1061607533083,Air,Route B,659.826531,60.654880398,29880.026234602,0,1
skincare,SKU583,82.72,46,886,78041.745248,Male,84,8,12,12,Carrier A,14.145090719,Supplier 2,Delhi,17,736,54,10.3923621961,Pending,0.571395624858077,Road,Route B,923.436943,24.5374529151,78017.2077950849,0,1
haircare,SKU584,74.48,89,801,64600.068997,Female,43,58,129,6,Carrier B,14.2642215576,Supplier 4,Bangalore,34,467,31,98.2423718005,Pass,0.058404771065981,Road,Route A,146.69387,112.50659335809999,64487.5624036419,1,1
cosmetics,SKU585,53.87,76,953,47827.882845,Female,131,20,187,3,Carrier C,17.5654586712,Supplier 5,Bangalore,45,1047,30,48.5311031037,Pass,0.148970390137951,Rail,Route B,534.604993,66.0965617749,47761.7862832251,1,1
skincare,SKU586,83.8,13,147,11358.940724,Male,58,37,34,9,Carrier B,14.7082942895,Supplier 2,Mumbai,27,687,47,45.4347252688,Pass,0.864909476827331,Rail,Route B,679.196911,60.1430195583,11298.7977044417,0,1
haircare,SKU587,80.95,97,546,46459.828081,Male,56,35,183,6,Carrier C,6.7656111125,Supplier 3,Chennai,35,555,24,35.02438735,Pass,0.858950333644209,Rail,Route B,405.283088,41.789998462499995,46418.0380825375,1,1
haircare,SKU588,59.82,5,448,27384.633321,Male,14,31,132,9,Carrier C,1.2212530906,Supplier 1,Mumbai,53,1030,13,76.2651908905,Fail,0.343083771705277,Road,Route A,646.938201,77.4864439811,27307.146877018902,1,1
skincare,SKU589,33.61,33,489,17072.471028,Unknown,76,7,145,12,Carrier A,15.3425780493,Supplier 1,Kolkata,15,1085,35,43.8437611998,Pending,4.091744007675254,Air,Route A,678.087686,59.1863392491,17013.2846887509,0,1
skincare,SKU590,59.73,28,784,43050.105146,Male,108,17,177,13,Carrier B,1.8991660726,Supplier 2,Bangalore,53,1194,19,66.7031119788,Pass,1.512783508729372,Air,Route C,206.518691,68.60227805139999,42981.5028679486,1,1
cosmetics,SKU591,88.69,17,569,52073.882597,Male,154,6,196,6,Carrier A,12.3741063978,Supplier 3,Kolkata,55,1476,55,20.1572348449,Pass,0.515313253127174,Sea,Route B,607.870958,32.5313412427,52041.351255757305,1,1
haircare,SKU592,89.74,71,178,15275.699172,Female,18,9,70,4,Carrier B,14.671609852,Supplier 1,Chennai,16,571,5,23.0757408771,Pass,4.880592224299202,Road,Route A,127.018203,37.7473507291,15237.9518212709,0,1
skincare,SKU593,60.85,100,26,1587.395619,Male,182,43,63,14,Carrier C,6.5595689868,Supplier 5,Kolkata,36,919,27,29.8098847017,Pass,4.613269492549491,Sea,Route C,453.461603,36.3694536885,1551.0261653114999,1,0
skincare,SKU594,51.33,66,502,25793.572197,Non-binary,8,34,166,5,Carrier C,10.8258568834,Supplier 2,Bangalore,27,1328,37,28.4053904824,Pass,2.354528720568538,Road,Route A,497.004548,39.2312473658,25754.340949634203,0,1
skincare,SKU595,65.63,5,444,27542.172225,Unknown,127,18,30,6,Carrier B,14.3411222443,Supplier 5,Mumbai,56,1130,27,56.7701106819,Pending,2.618241932482239,Road,Route C,744.548084,71.1112329262,27471.0609920738,1,1
haircare,SKU596,29.76,17,365,11538.542164,Female,108,55,187,13,Carrier C,5.5391892177,Supplier 1,Delhi,52,905,48,98.7392414954,Pending,4.312143261882678,Sea,Route B,485.302213,104.2784307131,11434.2637332869,1,1
cosmetics,SKU597,91.6,38,205,19601.144987,Female,89,56,64,4,Carrier A,5.647709207,Supplier 5,Bangalore,27,479,56,32.7051063619,Fail,3.98160658067658,Air,Route A,423.894338,38.3528155689,19562.7921714311,0,1
cosmetics,SKU598,54.45,69,970,52937.635066,Male,130,40,104,14,Carrier A,2.1964567659,Supplier 2,Kolkata,43,987,48,67.0896421532,Pending,3.207862140713844,Road,Route A,939.381146,69.2860989191,52868.3489670809,1,1
skincare,SKU599,68.69,37,162,12037.989878,Unknown,18,14,49,1,Carrier C,16.588764513,Supplier 1,Delhi,47,1401,5,21.8860129692,Pass,2.197814826358011,Road,Route B,168.48999,38.4747774822,11999.5151005178,1,1
haircare,SKU600,21.99,90,911,21226.622627,Female,175,3,82,9,Carrier B,4.4426947299,Supplier 2,Mumbai,55,574,9,37.9747090925,Pending,4.160473122603213,Air,Route C,940.472916,42.4174038224,21184.2052231776,1,1
cosmetics,SKU601,80.84,27,248,21005.739667,Male,66,46,83,7,Carrier B,17.6289862845,Supplier 3,Mumbai,57,419,7,71.8257197247,Pending,2.91926305074624,Sea,Route A,816.567354,89.4547060092,20916.2849609908,1,1
haircare,SKU602,58.67,75,624,35278.587395,Female,69,40,191,13,Carrier B,11.1215208187,Supplier 4,Mumbai,17,873,40,90.9507776098,Pending,2.019031077317412,Sea,Route C,763.135149,102.0722984285,35176.5150965715,0,1
skincare,SKU603,20.91,28,663,13736.055185,Male,106,40,143,4,Carrier C,7.4342221575,Supplier 3,Chennai,48,931,17,85.6940484261,Pass,0.70440845443073,Road,Route C,540.276866,93.1282705836,13642.926914416399,1,1
skincare,SKU604,27.74,89,347,8744.702502,Unknown,110,29,184,14,Carrier C,15.3906417683,Supplier 3,Delhi,29,409,42,32.9322939429,Pending,2.17894001707491,Road,Route A,140.276291,48.3229357112,8696.3795662888,0,1
haircare,SKU605,28.81,64,506,13963.19402,Female,68,7,136,7,Carrier B,14.669934395,Supplier 1,Bangalore,40,1321,21,12.1344724275,Pass,2.09566802249677,Sea,Route B,179.313913,26.8044068225,13936.3896131775,1,1
cosmetics,SKU606,71.71,78,4,305.214567,Female,113,45,150,14,Carrier C,11.2282010682,Supplier 5,Mumbai,9,375,42,58.7045403191,Pass,0.141654253847636,Rail,Route A,861.881044,69.9327413873,235.2818256127,0,0
skincare,SKU607,76.58,96,384,27950.580464,Male,16,7,116,4,Carrier A,7.6473721902,Supplier 3,Mumbai,29,859,56,64.195189245,Pass,3.930906092194797,Sea,Route A,752.850641,71.8425614352,27878.737902564797,0,1
haircare,SKU608,80.2,66,5,395.283756,Non-binary,80,16,79,3,Carrier C,4.3867527352,Supplier 1,Delhi,31,1358,41,29.0136625244,Fail,4.880309488737983,Road,Route B,409.468218,33.4004152596,361.8833407404,0,0
skincare,SKU609,88.69,9,504,43652.975014,Female,99,32,138,9,Carrier A,8.5284749662,Supplier 3,Delhi,30,665,59,28.148969014,Pass,3.942713510326643,Rail,Route B,868.911385,36.677443980199996,43616.2975700198,0,1
skincare,SKU610,56.29,83,25,1384.522701,Non-binary,59,19,187,2,Carrier B,5.6607896241,Supplier 2,Bangalore,52,217,46,14.5058074384,Pending,0.38701692387622,Road,Route C,688.538224,20.1665970625,1364.3561039375002,1,0
cosmetics,SKU611,12.93,63,49,592.801263,Male,166,1,80,4,Carrier C,18.3372160304,Supplier 3,Chennai,14,1016,25,95.4201211199,Pending,1.184682171719218,Rail,Route B,357.729461,113.7573371503,479.0439258496999,0,0
cosmetics,SKU612,54.95,4,88,4861.247488,Female,2,27,12,12,Carrier C,6.7174623901,Supplier 2,Mumbai,26,399,53,58.1320879227,Pass,2.546945823456689,Road,Route A,147.377901,64.8495503128,4796.3979376872,0,1
haircare,SKU613,30.95,48,477,15180.631948,Male,93,38,143,13,Carrier C,18.5627325777,Supplier 2,Mumbai,17,463,29,79.9467318496,Pass,4.222605833023398,Road,Route B,345.995989,98.5094644273,15082.1224835727,0,1
cosmetics,SKU614,38.82,57,971,41459.845064,Female,85,37,93,12,Carrier B,3.8247787102,Supplier 2,Bangalore,17,352,48,97.3515999365,Pending,1.622738385968437,Road,Route B,231.73576,101.17637864669999,41358.6686853533,0,1
haircare,SKU615,78.05,60,266,20263.838482,Male,80,33,40,2,Carrier B,13.5740235625,Supplier 4,Mumbai,8,1397,30,83.1863932556,Pending,4.629684861977896,Sea,Route A,851.775815,96.7604168181,20167.0780651819,0,1
haircare,SKU616,66.63,48,446,27747.942669,Female,106,16,142,7,Carrier C,2.4789439091,Supplier 2,Chennai,51,1012,28,24.4176771885,Pass,3.767378270307623,Road,Route C,105.068181,26.8966210976,27721.0460479024,1,1
haircare,SKU617,13.48,40,868,11703.801498,Non-binary,68,45,15,12,Carrier C,11.8651182489,Supplier 1,Kolkata,47,1368,58,29.3261612609,Pass,3.682726668143026,Air,Route A,440.17152,41.1912795098,11662.610218490201,1,1
skincare,SKU618,17.88,50,577,9879.766742,Non-binary,30,43,86,2,Carrier C,16.627838238,Supplier 5,Delhi,24,571,33,74.8290624831,Pass,1.983490490156016,Road,Route C,945.197828,91.4569007211,9788.3098412789,0,1
skincare,SKU619,16.65,92,589,10573.400727,Non-binary,100,57,66,2,Carrier C,19.3149309511,Supplier 4,Chennai,33,1108,15,47.6545003942,Pass,3.174873023977938,Rail,Route C,164.19069,66.9694313453,10506.4312956547,1,1
haircare,SKU620,22.88,71,375,9071.708914,Non-binary,187,5,128,6,Carrier B,9.9347326212,Supplier 3,Mumbai,7,524,22,37.8982122792,Pending,1.249857936839543,Air,Route B,556.429494,47.8329449004,9023.875969099601,0,1
cosmetics,SKU621,84.71,84,520,44773.199137,Female,93,27,42,10,Carrier B,17.0219788136,Supplier 1,Delhi,19,163,5,19.2155016514,Pass,0.266158512905151,Road,Route B,741.715152,36.237480465000004,44736.961656535,0,1
haircare,SKU622,26.44,99,186,5363.308091,Female,66,41,180,5,Carrier A,18.931988895,Supplier 4,Delhi,58,1141,26,79.045132631,Fail,2.235277053549663,Road,Route B,457.19918,97.977121526,5265.330969474,1,1
haircare,SKU623,36.92,21,830,27916.550707,Non-binary,75,9,48,8,Carrier A,5.3290205735,Supplier 5,Mumbai,9,896,54,12.0343995423,Pass,0.77134537926887,Sea,Route A,321.643661,17.3634201158,27899.1872868842,0,1
cosmetics,SKU624,17.08,65,930,17028.864066,Unknown,165,26,130,8,Carrier C,9.0384349331,Supplier 3,Mumbai,17,948,36,39.7264757921,Fail,4.362300599704486,Road,Route A,960.913772,48.7649107252,16980.0991552748,0,1
cosmetics,SKU625,67.89,66,843,61963.299497,Female,196,3,175,13,Carrier B,9.3177681659,Supplier 2,Delhi,28,393,21,70.1132026236,Pass,2.544172214256032,Road,Route C,804.156228,79.43097078950001,61883.8685262105,0,1
skincare,SKU626,62.5,53,933,55832.240011,Non-binary,175,10,126,8,Carrier B,8.0941926312,Supplier 5,Bangalore,43,1067,7,83.5533342089,Fail,1.282468225980368,Road,Route A,640.22773,91.6475268401,55740.592484159904,1,1
haircare,SKU627,9.78,44,91,904.026827,Female,82,6,92,13,Carrier C,4.0383516555,Supplier 5,Bangalore,6,669,34,62.8461215322,Pass,1.635279602084125,Rail,Route A,922.996333,66.8844731877,837.1423538123,0,1
haircare,SKU628,86.8,90,978,83407.703323,Female,128,26,161,1,Carrier C,9.3344522457,Supplier 5,Kolkata,18,774,30,59.6816355066,Pass,3.720077653537585,Air,Route C,802.659457,69.0160877523,83338.6872352477,0,1
haircare,SKU629,65.83,11,923,58890.951641,Non-binary,45,12,19,8,Carrier A,3.6771749301,Supplier 1,Mumbai,42,689,44,23.2121468579,Pass,0.096978422055209,Rail,Route C,252.734715,26.889321788,58864.062319212,1,1
skincare,SKU630,78.54,29,330,27027.950054,Male,109,5,131,12,Carrier A,11.9303123022,Supplier 4,Bangalore,16,1148,7,85.7821796258,Pass,4.195135577423959,Road,Route C,559.054206,97.71249192799999,26930.237562072,0,1
skincare,SKU631,45.19,72,550,22532.975089,Male,79,42,73,6,Carrier B,6.8290913791,Supplier 5,Mumbai,11,381,41,68.2702231376,Pass,3.900086479817735,Air,Route B,342.541045,75.0993145167,22457.8757744833,0,1
haircare,SKU632,89.29,16,9,815.74776,Male,118,9,149,7,Carrier A,14.9137796522,Supplier 3,Delhi,12,529,10,77.988799056,Pass,2.389420496541777,Rail,Route B,258.063819,92.90257870820001,722.8451812917999,0,0
skincare,SKU633,80.65,31,210,17063.601997,Male,122,36,174,12,Carrier A,14.2171743155,Supplier 5,Mumbai,32,99,24,69.298000023,Fail,0.174930452448404,Road,Route A,327.569481,83.5151743385,16980.086822661502,1,1
skincare,SKU634,11.33,45,265,3010.875367,Female,0,57,14,3,Carrier A,15.9127766844,Supplier 4,Kolkata,18,266,8,48.6271523764,Pass,1.2898727408037,Air,Route B,580.230757,64.5399290608,2946.3354379392,0,1
haircare,SKU635,75.4,72,736,58572.143266,Male,70,12,162,3,Carrier B,7.9237874539,Supplier 4,Chennai,14,943,58,27.8569091074,Pass,3.960283960193484,Air,Route A,794.022443,35.7806965613,58536.3625694387,0,1
skincare,SKU636,46.43,28,705,33411.591014,Male,99,46,22,1,Carrier C,7.8116449927,Supplier 3,Kolkata,50,550,16,81.0977283613,Pending,0.432796129618686,Air,Route A,553.396099,88.909373354,33322.681640646,1,1
skincare,SKU637,96.59,12,71,7322.170511,Male,148,14,139,8,Carrier C,7.3094039257,Supplier 5,Chennai,37,1073,45,69.8958467881,Pending,3.644647068642655,Air,Route A,277.737653,77.2052507138,7244.965260286201,1,0
cosmetics,SKU638,23.19,92,954,22197.756838,Female,31,22,34,12,Carrier B,15.7927131034,Supplier 2,Mumbai,44,83,42,42.8906336188,Pending,0.283975405644764,Rail,Route B,351.069575,58.6833467222,22139.073491277803,1,1
haircare,SKU639,51.96,48,61,2979.608809,Male,154,28,89,4,Carrier A,14.6374503515,Supplier 1,Kolkata,32,1434,17,76.8457656509,Pass,2.373111797887485,Road,Route B,925.614011,91.48321600240001,2888.1255929975996,1,0
skincare,SKU640,85.2,54,372,29593.154103,Non-binary,55,23,26,6,Carrier C,9.9592624052,Supplier 2,Kolkata,18,583,48,29.0825065452,Pass,2.175336895660555,Road,Route A,118.429375,39.0417689504,29554.1123340496,0,1
skincare,SKU641,66.69,91,227,15377.630141,Unknown,0,41,57,4,Carrier A,2.9577921752,Supplier 2,Bangalore,27,512,30,52.5514010771,Fail,4.373781422240005,Rail,Route A,279.025624,55.5091932523,15322.1209477477,0,1
haircare,SKU642,76.15,13,916,66314.571555,Female,181,34,37,2,Carrier B,11.8138686324,Supplier 2,Delhi,51,843,24,81.7439595234,Pass,1.599162433755504,Rail,Route C,700.214848,93.5578281558,66221.0137268442,1,1
haircare,SKU643,54.99,49,923,50596.053754,Female,165,28,165,5,Carrier A,12.3946612111,Supplier 2,Chennai,50,675,15,61.1045300055,Pending,4.663133981090622,Rail,Route C,267.620444,73.4991912166,50522.5545627834,1,1
skincare,SKU644,83.89,31,895,77097.529463,Female,83,39,101,6,Carrier C,19.1101763587,Supplier 3,Mumbai,39,399,21,52.3999319498,Pending,0.631824896460531,Sea,Route A,952.037124,71.5101083085,77026.0193546915,1,1
skincare,SKU645,29.33,55,864,24494.281076,Non-binary,13,27,132,3,Carrier C,7.0243911565,Supplier 1,Delhi,48,1095,8,63.8119893037,Pass,0.170504698909931,Air,Route B,604.188462,70.8363804602,24423.444695539798,1,1
skincare,SKU646,95.98,10,410,41313.379647,Male,187,8,128,2,Carrier C,3.8908098515,Supplier 1,Chennai,27,765,31,28.2049462982,Pass,2.528158869180896,Sea,Route B,905.595603,32.0957561497,41281.2838908503,0,1
skincare,SKU647,40.69,69,609,26118.303085,Male,37,17,117,1,Carrier C,6.6922604561,Supplier 3,Delhi,50,249,39,12.2902428966,Fail,4.464785289551813,Sea,Route C,913.390535,18.9825033527,26099.3205816473,1,1
skincare,SKU648,56.72,34,378,21215.56949,Male,161,19,154,5,Carrier A,14.8275167697,Supplier 5,Kolkata,12,1292,19,50.749131656,Pass,4.388098857501543,Rail,Route C,904.649145,65.5766484257,21149.9928415743,0,1
cosmetics,SKU649,78.24,54,518,38937.348,Male,182,39,171,11,Carrier C,2.0799708435,Supplier 1,Kolkata,46,1409,29,41.3212018387,Pending,3.836975342482305,Road,Route B,744.556489,43.4011726822,38893.9468273178,1,1
skincare,SKU650,77.4,81,208,15201.755219,Non-binary,123,44,36,14,Carrier A,8.9089589878,Supplier 1,Mumbai,53,533,21,57.9021226428,Fail,2.449009147266033,Road,Route B,732.72853,66.8110816306,15134.9441373694,1,1
haircare,SKU651,27.2,35,579,16168.701355,Female,172,19,96,11,Carrier A,2.7906182617,Supplier 1,Kolkata,10,977,25,77.8854099732,Pass,1.254385182099502,Sea,Route C,165.6715,80.6760282349,16088.025326765099,0,1
cosmetics,SKU652,50.89,78,56,2907.258448,Unknown,70,18,193,9,Carrier C,9.7461064111,Supplier 4,Bangalore,8,490,34,84.4645774247,Fail,0.335346835863691,Road,Route A,522.372697,94.2106838358,2813.0477641642,0,0
cosmetics,SKU653,42.59,93,788,35439.114437,Male,26,56,34,4,Carrier A,17.8851710809,Supplier 5,Bangalore,28,121,32,47.5349712609,Pass,1.166633485306733,Sea,Route A,509.827721,65.4201423418,35373.6942946582,0,1
cosmetics,SKU654,80.04,83,560,44991.006738,Non-binary,176,52,88,1,Carrier B,10.4648636848,Supplier 1,Kolkata,55,247,34,26.5898214089,Pass,3.815636268193143,Road,Route B,754.834009,37.0546850937,44953.952052906294,1,1
skincare,SKU655,51.87,17,135,7550.118888,Female,34,51,56,4,Carrier C,9.0342654928,Supplier 5,Kolkata,25,417,5,11.6713646889,Pending,1.142234828546603,Sea,Route A,987.226139,20.705630181700002,7529.4132578183,0,1
skincare,SKU656,31.79,50,435,14099.496354,Female,50,42,121,5,Carrier A,14.7351191415,Supplier 5,Chennai,56,610,42,71.2835682979,Pending,4.4552255003356,Sea,Route A,660.264282,86.0186874394,14013.4776665606,1,1
haircare,SKU657,51.06,79,535,26131.251402,Female,172,8,95,5,Carrier A,9.986638646,Supplier 1,Delhi,54,1181,24,56.1331832741,Pass,4.30395231807135,Air,Route B,971.822305,66.1198219201,26065.131580079902,1,1
haircare,SKU658,34.5,65,281,9257.418263,Female,156,31,53,11,Carrier C,6.0673651821,Supplier 1,Bangalore,14,204,17,85.5144251271,Pending,1.619001998022421,Sea,Route B,930.19205,91.5817903092,9165.8364726908,0,1
skincare,SKU659,30.97,30,278,8065.985931,Female,80,36,22,7,Carrier A,14.5556898482,Supplier 3,Bangalore,39,1309,41,45.8157750581,Pass,2.262170258518945,Road,Route B,801.184549,60.371464906300005,8005.6144660937,1,1
skincare,SKU660,54.21,28,794,43768.166862,Non-binary,148,1,101,10,Carrier B,8.1198894282,Supplier 1,Kolkata,24,1482,17,99.2288522402,Pending,0.828513349982353,Sea,Route B,229.322447,107.3487416684,43660.8181203316,0,1
skincare,SKU661,10.64,77,780,8056.895956,Male,35,17,37,12,Carrier B,5.7687432249,Supplier 3,Delhi,34,883,18,10.321979014,Pass,0.031676898242609,Air,Route B,353.134018,16.0907222389,8040.805233761101,1,1
cosmetics,SKU662,12.66,56,552,7033.200576,Female,107,53,42,7,Carrier A,11.5039941237,Supplier 1,Mumbai,42,1195,43,15.3662971949,Pending,1.51043844745928,Air,Route B,740.857079,26.8702913186,7006.3302846814,1,1
skincare,SKU663,17.92,2,851,14232.488905,Male,49,14,143,12,Carrier C,17.3174643788,Supplier 2,Mumbai,34,618,40,91.4570315015,Pass,2.44558037872223,Sea,Route B,542.873535,108.7744958803,14123.7144091197,1,1
skincare,SKU664,27.91,84,379,11138.842194,Female,24,3,78,6,Carrier B,8.162049462,Supplier 4,Delhi,43,1364,44,44.47722532,Pass,2.245895006392356,Road,Route B,827.269901,52.639274782,11086.202919218002,1,1
haircare,SKU665,87.5,6,681,55808.746751,Non-binary,42,47,108,14,Carrier B,10.7483190344,Supplier 2,Delhi,16,819,21,86.9579797515,Fail,2.177772064222392,Road,Route C,274.737427,97.7062987859,55711.040452214096,0,1
haircare,SKU666,87.93,60,684,64874.288405,Male,116,18,158,8,Carrier B,15.1645586217,Supplier 1,Mumbai,28,1049,28,66.3561507632,Pass,4.846553202724318,Air,Route C,276.099666,81.5207093849,64792.7676956151,0,1
cosmetics,SKU667,21.32,23,636,13805.190455,Unknown,46,41,184,7,Carrier A,5.5090363799,Supplier 4,Bangalore,28,1109,49,72.8017329756,Pass,2.097137763703853,Air,Route C,347.262626,78.3107693555,13726.8796856445,0,1
skincare,SKU668,76.37,53,766,62482.640613,Female,42,39,123,4,Carrier A,6.6357963748,Supplier 3,Chennai,20,1226,18,52.474362918,Pending,1.822314088493338,Road,Route C,489.670792,59.1101592928,62423.5304537072,0,1
haircare,SKU669,74.93,59,96,6968.342262,Non-binary,93,27,164,9,Carrier B,10.0436521166,Supplier 1,Kolkata,16,136,55,85.1472594533,Pending,4.073951794101228,Air,Route A,230.367545,95.1909115699,6873.1513504301,0,1
skincare,SKU670,24.97,63,973,24106.166879,Non-binary,71,39,177,6,Carrier C,8.0087679096,Supplier 1,Delhi,38,1023,54,66.0832630602,Pending,3.416397962642725,Road,Route B,491.892516,74.09203096979999,24032.0748480302,1,1
haircare,SKU671,9.25,27,432,3880.464995,Female,178,7,166,7,Carrier C,2.5645010988,Supplier 1,Delhi,12,731,16,66.4857886584,Pass,1.239924768787914,Road,Route A,739.836673,69.05028975719999,3811.4147052427998,0,1
haircare,SKU672,48.31,98,685,32844.576379,Unknown,189,49,77,3,Carrier B,15.0433686756,Supplier 4,Mumbai,28,1055,59,67.5605888231,Pass,1.273229106193191,Rail,Route A,394.279861,82.6039574987,32761.972421501298,0,1
skincare,SKU673,67.58,65,581,40208.505014,Female,155,45,35,12,Carrier C,13.8991573963,Supplier 4,Delhi,25,1103,22,87.8280306043,Pass,3.573215168950251,Sea,Route B,773.556721,101.7271880006,40106.7778259994,0,1
cosmetics,SKU674,90.92,52,797,73866.95239,Female,144,41,155,9,Carrier C,10.1017737878,Supplier 4,Delhi,52,517,13,91.4835869436,Pass,4.765833115424464,Sea,Route B,290.137359,101.5853607314,73765.3670292686,1,1
skincare,SKU675,58.38,19,830,44843.462122,Unknown,99,12,36,14,Carrier B,1.3804471559,Supplier 2,Bangalore,44,788,35,18.1910626194,Pass,0.242433911011843,Rail,Route A,589.542771,19.5715097753,44823.8906122247,1,1
skincare,SKU676,37.59,32,450,16385.776286,Female,97,8,30,8,Carrier B,9.5359379467,Supplier 4,Bangalore,52,247,24,26.5355506307,Pass,4.472971551095561,Road,Route A,529.444042,36.071488577400004,16349.7047974226,1,1
haircare,SKU677,32.29,99,380,13197.415253,Female,67,51,110,3,Carrier B,5.8264018328,Supplier 5,Delhi,26,335,56,71.2128558621,Pass,2.823378921647105,Road,Route A,695.173566,77.0392576949,13120.3759953051,0,1
