Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU519,93.15,97,157,14014.964032,Female,130,3,172,8,Carrier C,2.7794915995,Supplier 2,Delhi,47,546,42,74.7091681168,Fail,3.694372872834762,Road,Route C,633.686273
cosmetics,SKU520,67.0,90,720,46734.715531,Female,160,5,87,11,Carrier C,7.7505032212,Supplier 4,Bangalore,23,736,58,78.5829448935,Pass,4.205517508976182,Road,Route B,493.454845
haircare,SKU521,54.46,95,165,8347.145764,Unknown,193,45,198,13,Carrier C,11.5271092857,Supplier 3,Mumbai,44,1095,52,91.2745587792,Pass,0.489668000143436,Road,Route C,516.419049
cosmetics,SKU522,23.63,75,456,10527.799032,Female,94,6,99,11,Carrier C,13.6401838885,Supplier 4,Chennai,30,272,55,51.7051907924,Fail,0.864654319224536,Rail,Route B,929.277401
haircare,SKU523,42.89,36,745,34441.03436,Female,169,46,98,13,Carrier B,17.9445840167,Supplier 4,Chennai,59,860,11,66.2230602466,Pass,1.896344497677666,Road,Route C,404.874914
skincare,SKU524,86.35,29,560,52454.104571,Female,100,7,183,3,Carrier A,10.8461479971,Supplier 2,Bangalore,29,733,51,95.0275072189,Pass,1.716253122937886,Sea,Route A,711.010758
skincare,SKU525,33.46,33,260,8879.823083,Male,27,6,192,9,Carrier C,6.0059954682,Supplier 5,Mumbai,46,894,51,20.3770981305,Pass,3.60010523867316,Sea,Route C,118.818561
haircare,SKU526,9.8,60,402,3885.633878,Female,100,59,133,2,Carrier A,13.4125012771,Supplier 3,Delhi,36,579,21,58.6887611975,Pending,2.788094215718496,Sea,Route C,265.797909
skincare,SKU527,44.92,48,160,6648.913479,Male,165,53,184,1,Carrier C,12.5082855687,Supplier 1,Mumbai,39,1323,17,16.0516570647,Pass,4.105471845670494,Air,Route C,879.784663
haircare,SKU528,82.59,41,990,84147.6736,Female,59,40,174,2,Carrier B,8.7999329027,Supplier 5,Mumbai,47,552,35,27.8317667641,Pass,3.140019419173532,Road,Route B,487.049811
cosmetics,SKU529,33.9,8,64,1966.523036,Male,2,17,119,13,Carrier B,9.27895278,Supplier 4,Mumbai,56,951,42,77.2003868308,Pass,2.567793676631227,Air,Route A,840.383134
haircare,SKU530,38.5,62,880,36085.796859,Female,162,52,182,6,Carrier C,17.1265841203,Supplier 5,Mumbai,16,1236,46,39.2098698758,Pending,3.797388854828731,Air,Route A,992.882968
haircare,SKU531,72.67,87,604,43824.349485,Male,37,11,24,1,Carrier C,1.0446020035,Supplier 1,Chennai,30,478,47,67.9218600466,Pass,2.186859797337943,Sea,Route B,171.629333
cosmetics,SKU532,30.68,1,882,29026.958282,Male,141,36,118,12,Carrier C,5.9876634811,Supplier 3,Chennai,33,494,10,89.9958260565,Pass,2.82064666069016,Air,Route A,247.528236
skincare,SKU533,22.54,30,172,4054.3407,Male,156,2,173,3,Carrier C,2.500631388,Supplier 3,Kolkata,35,888,34,31.9657609871,Pending,2.93643296675024,Road,Route C,521.615113
skincare,SKU534,12.76,93,510,5899.529692,Female,153,37,124,5,Carrier B,1.3596251697,Supplier 2,Delhi,11,1454,53,92.9554002506,Pending,3.661209310888526,Rail,Route C,653.941864
cosmetics,SKU535,46.91,32,468,21878.40297,Female,92,35,70,6,Carrier A,3.6026622239,Supplier 5,Bangalore,15,243,38,66.4656899784,Pass,1.469031209000225,Rail,Route A,748.241132
skincare,SKU536,18.52,26,249,4523.534491,Non-binary,19,45,11,8,Carrier C,1.7545129439,Supplier 1,Bangalore,53,789,39,56.9913844089,Pass,1.509438905576868,Rail,Route B,510.693331
cosmetics,SKU537,51.31,3,416,22631.429526,Female,51,51,183,2,Carrier A,1.2027734691,Supplier 5,Delhi,48,515,55,32.1068416644,Pass,3.973977283213353,Road,Route B,342.147006
cosmetics,SKU538,54.41,7,657,35439.505427,Male,25,15,42,14,Carrier A,14.4429335606,Supplier 3,Mumbai,12,940,58,21.4580690872,Pass,4.801729128875412,Rail,Route A,796.420674
skincare,SKU539,26.3,5,985,25013.165395,Male,67,52,13,14,Carrier C,4.2254114659,Supplier 5,Mumbai,6,98,20,50.4211072537,Fail,2.183589898483418,Road,Route B,162.256771
haircare,SKU540,29.01,58,866,26280.393897,Female,41,29,194,7,Carrier C,3.6950435547,Supplier 1,Kolkata,40,1018,20,50.3149276187,Pass,2.084713824772054,Sea,Route B,876.407647
skincare,SKU541,62.14,6,410,25642.00624,Male,51,10,134,12,Carrier B,3.1557816424,Supplier 4,Delhi,30,381,18,44.7540326734,Pending,4.554108649014382,Sea,Route A,545.345611
skincare,SKU542,78.57,14,528,43861.907444,Non-binary,109,22,77,3,Carrier B,14.8909566771,Supplier 4,Delhi,20,458,52,36.098865338,Fail,0.598513987622425,Rail,Route A,404.32599
haircare,SKU543,27.3,61,612,15817.449253,Male,1,38,14,14,Carrier A,16.0214563306,Supplier 5,Delhi,8,302,13,72.1856229641,Pass,4.378102604002893,Road,Route A,680.370439
skincare,SKU544,94.63,70,191,17370.995521,Male,110,25,196,3,Carrier B,16.6522332485,Supplier 3,Delhi,56,1172,14,88.2936606157,Pass,3.392695643295478,Air,Route C,213.990286
skincare,SKU545,52.8,47,222,11400.871527,Non-binary,146,35,102,11,Carrier A,16.5046365437,Supplier 2,Kolkata,44,964,59,69.3415272789,Pending,4.912128867042657,Road,Route C,136.292716
haircare,SKU546,5.58,83,93,570.398336,Female,160,56,80,1,Carrier A,7.3615485496,Supplier 4,Kolkata,35,1389,10,45.5491243494,Pass,1.044339787523181,Road,Route A,360.624434
skincare,SKU547,15.86,6,891,13869.563964,Male,12,10,99,14,Carrier A,3.4136379435,Supplier 1,Kolkata,43,315,24,98.2887672519,Pending,4.491637935217264,Rail,Route B,606.547213
haircare,SKU548,30.08,42,317,10243.411948,Non-binary,6,45,44,1,Carrier B,11.4750304226,Supplier 2,Delhi,19,135,10,10.4054032882,Pass,2.638528845584154,Road,Route B,498.488461
haircare,SKU549,82.28,62,388,29046.011995,Non-binary,113,56,33,2,Carrier A,9.6119719843,Supplier 5,Delhi,41,342,41,13.6536386772,Pass,3.956339891389564,Rail,Route B,109.603114
skincare,SKU550,46.74,26,816,36246.690489,Male,56,8,137,5,Carrier B,4.4856998104,Supplier 2,Bangalore,52,669,23,11.2554116823,Fail,1.831818661956711,Air,Route C,156.449954
cosmetics,SKU551,51.04,29,714,39253.753025,Unknown,73,19,193,1,Carrier A,12.5671612434,Supplier 2,Chennai,28,1338,11,88.6200018604,Pass,2.943099071281197,Rail,Route A,116.162077
haircare,SKU552,48.38,74,532,26732.731622,Non-binary,68,37,149,10,Carrier C,19.1665242705,Supplier 2,Kolkata,45,186,26,29.3369145782,Pass,1.013671347525983,Road,Route C,782.472355
cosmetics,SKU553,61.63,82,666,37180.487402,Unknown,121,23,140,7,Carrier A,15.1881228482,Supplier 4,Delhi,56,431,28,28.5466401943,Pass,0.334353936854954,Rail,Route A,877.807542
skincare,SKU554,76.25,70,581,46986.57596,Female,177,4,81,8,Carrier C,7.3714265286,Supplier 5,Mumbai,30,668,52,59.9040202889,Pass,2.344113572478322,Sea,Route C,140.57997
skincare,SKU555,87.61,34,620,53626.2016,Male,115,9,83,1,Carrier B,7.6125123006,Supplier 1,Chennai,33,620,29,99.973687404,Pending,1.81523232880717,Road,Route A,565.408799
cosmetics,SKU556,46.92,92,849,40777.946922,Non-binary,64,29,61,14,Carrier A,15.1273411231,Supplier 3,Kolkata,34,659,46,34.9612085552,Pass,0.811409700683949,Road,Route A,253.609692
skincare,SKU557,85.88,94,927,79475.648214,Male,191,13,34,12,Carrier C,19.1686731615,Supplier 5,Delhi,23,789,55,80.9343809322,Pending,2.952747890021564,Road,Route C,430.29394
haircare,SKU558,77.25,90,14,1071.654615,Female,134,37,62,2,Carrier C,1.0301082449,Supplier 3,Mumbai,8,804,48,41.5245133602,Pass,0.67624260125057,Road,Route C,784.634325
haircare,SKU559,53.61,14,764,38730.429004,Non-binary,122,58,177,3,Carrier C,19.7313103678,Supplier 1,Chennai,58,60,57,15.7639171478,Pending,4.807883399393365,Road,Route C,400.433421
skincare,SKU560,69.56,79,318,23214.209169,Non-binary,91,25,198,12,Carrier B,5.9652395229,Supplier 1,Kolkata,11,905,53,72.5338656885,Pass,4.725474079923657,Road,Route A,278.041986
cosmetics,SKU561,25.73,93,215,5737.299377,Male,181,55,23,11,Carrier A,5.8005970413,Supplier 3,Delhi,10,360,37,12.0294299377,Pass,0.271504375441382,Sea,Route C,734.420019
haircare,SKU562,60.26,47,541,29360.29048,Female,8,24,24,4,Carrier A,1.6760607701,Supplier 5,Chennai,45,427,16,17.7782169203,Pending,4.494096539307919,Sea,Route B,267.24885
cosmetics,SKU563,94.5,21,673,59402.814612,Female,50,15,104,6,Carrier B,13.6372833842,Supplier 3,Delhi,10,974,21,63.6564402462,Pending,1.446791129525163,Road,Route B,506.879659
cosmetics,SKU564,12.21,48,381,5076.197763,Male,147,15,78,13,Carrier C,10.2935466026,Supplier 5,Chennai,10,75,46,12.0253894686,Pass,3.908967529792049,Rail,Route A,918.599886
haircare,SKU565,52.35,41,293,15465.354967,Female,60,14,77,5,Carrier B,17.6841887427,Supplier 4,Chennai,42,1161,47,63.5349442499,Pass,4.081117726170995,Rail,Route C,449.309311
haircare,SKU566,82.74,49,277,21392.831109,Male,14,42,72,4,Carrier C,5.8828429709,Supplier 1,Chennai,56,368,13,69.0531482663,Pending,2.431550778379889,Air,Route B,539.040554
haircare,SKU567,22.18,92,336,7368.994658,Non-binary,1,46,158,6,Carrier C,7.247234287,Supplier 4,Chennai,13,261,32,34.297627317,Pending,4.42622646949082,Road,Route A,824.177528
haircare,SKU568,70.96,69,15,1100.748664,Male,2,38,13,8,Carrier C,13.4536156734,Supplier 5,Delhi,15,214,5,41.2993087844,Pass,3.280362165322632,Road,Route C,777.528095
cosmetics,SKU569,84.51,89,320,27749.764126,Non-binary,183,57,83,4,Carrier A,8.9445003961,Supplier 5,Chennai,5,363,23,30.9747869186,Pending,4.79205515554212,Road,Route C,679.623793
haircare,SKU570,76.78,92,441,37151.627032,Unknown,59,34,105,13,Carrier A,17.3843634124,Supplier 3,Kolkata,26,466,42,46.8324616407,Pass,4.046798970572406,Rail,Route B,554.387334
cosmetics,SKU571,39.16,24,333,12826.760237,Female,184,49,107,8,Carrier A,18.616922831,Supplier 1,Bangalore,16,198,15,79.1170082029,Pending,2.502750319715237,Road,Route A,504.02055
skincare,SKU572,28.11,16,778,23533.513448,Female,133,19,196,5,Carrier C,11.5292247106,Supplier 2,Delhi,42,832,27,32.7000820808,Pending,4.736381378048536,Road,Route C,292.758627
haircare,SKU573,32.67,74,531,18076.144135,Female,86,20,22,13,Carrier C,4.3476937171,Supplier 1,Kolkata,32,516,8,68.3674324142,Pass,3.034949245515556,Air,Route B,692.455405
haircare,SKU574,6.03,74,342,2105.880713,Male,199,20,85,3,Carrier A,18.6301119674,Supplier 2,Mumbai,37,1287,48,55.3978935744,Pending,2.521063843842981,Road,Route A,825.373116
haircare,SKU575,61.45,99,874,57429.872945,Non-binary,43,28,174,9,Carrier A,13.9718186581,Supplier 2,Bangalore,37,335,16,84.8972037077,Fail,3.331920021933131,Road,Route B,355.693734
haircare,SKU576,68.18,72,448,33461.195205,Female,77,28,139,9,Carrier C,2.7066892989,Supplier 5,Bangalore,39,584,50,48.8659323081,Pass,2.587567086842419,Air,Route C,532.651111
cosmetics,SKU577,69.59,44,997,65175.804517,Male,27,27,63,10,Carrier C,5.3794019097,Supplier 1,Chennai,34,397,35,90.8775035471,Pass,4.022505137845047,Rail,Route A,334.925799
skincare,SKU578,90.78,95,487,44125.387866,Non-binary,191,55,15,5,Carrier B,3.1102027624,Supplier 4,Kolkata,34,101,56,37.7974809313,Fail,2.836553988582267,Air,Route A,205.340565
haircare,SKU579,14.65,58,261,4178.961036,Female,179,20,121,8,Carrier B,10.5063394578,Supplier 2,Mumbai,33,1294,23,54.340689728,Pass,0.743075456024406,Air,Route B,296.914916
skincare,SKU580,23.83,80,813,19781.971065,Non-binary,77,14,181,1,Carrier A,14.4769716013,Supplier 5,Bangalore,11,1233,52,40.8039033511,Pass,4.964091851148212,Road,Route C,890.677674
haircare,SKU581,60.28,45,829,48887.267959,Female,127,51,85,8,Carrier C,1.157040661,Supplier 2,Chennai,43,1009,59,36.3197624131,Pending,3.918850092703857,Road,Route A,868.266936
haircare,SKU582,79.48,100,402,29940.681115,Female,120,32,158,10,Carrier A,10.9860081072,Supplier 5,Mumbai,13,137,48,49.6688722908,Pending,2.1061607533083,Air,Route B,659.826531
skincare,SKU583,82.72,46,886,78041.745248,Male,84,8,12,12,Carrier A,14.145090719,Supplier 2,Delhi,17,736,54,10.3923621961,Pending,0.571395624858077,Road,Route B,923.436943
haircare,SKU584,74.48,89,801,64600.068997,Female,43,58,129,6,Carrier B,14.2642215576,Supplier 4,Bangalore,34,467,31,98.2423718005,Pass,0.058404771065981,Road,Route A,146.69387
cosmetics,SKU585,53.87,76,953,47827.882845,Female,131,20,187,3,Carrier C,17.5654586712,Supplier 5,Bangalore,45,1047,30,48.5311031037,Pass,0.148970390137951,Rail,Route B,534.604993
skincare,SKU586,83.8,13,147,11358.940724,Male,58,37,34,9,Carrier B,14.7082942895,Supplier 2,Mumbai,27,687,47,45.4347252688,Pass,0.864909476827331,Rail,Route B,679.196911
haircare,SKU587,80.95,97,546,46459.828081,Male,56,35,183,6,Carrier C,6.7656111125,Supplier 3,Chennai,35,555,24,35.02438735,Pass,0.858950333644209,Rail,Route B,405.283088
haircare,SKU588,59.82,5,448,27384.633321,Male,14,31,132,9,Carrier C,1.2212530906,Supplier 1,Mumbai,53,1030,13,76.2651908905,Fail,0.343083771705277,Road,Route A,646.938201
skincare,SKU589,33.61,33,489,17072.471028,Unknown,76,7,145,12,Carrier A,15.3425780493,Supplier 1,Kolkata,15,1085,35,43.8437611998,Pending,4.091744007675254,Air,Route A,678.087686
skincare,SKU590,59.73,28,784,43050.105146,Male,108,17,177,13,Carrier B,1.8991660726,Supplier 2,Bangalore,53,1194,19,66.7031119788,Pass,1.512783508729372,Air,Route C,206.518691
cosmetics,SKU591,88.69,17,569,52073.882597,Male,154,6,196,6,Carrier A,12.3741063978,Supplier 3,Kolkata,55,1476,55,20.1572348449,Pass,0.515313253127174,Sea,Route B,607.870958
haircare,SKU592,89.74,71,178,15275.699172,Female,18,9,70,4,Carrier B,14.671609852,Supplier 1,Chennai,16,571,5,23.0757408771,Pass,4.880592224299202,Road,Route A,127.018203
skincare,SKU593,60.85,100,26,1587.395619,Male,182,43,63,14,Carrier C,6.5595689868,Supplier 5,Kolkata,36,919,27,29.8098847017,Pass,4.613269492549491,Sea,Route C,453.461603
skincare,SKU594,51.33,66,502,25793.572197,Non-binary,8,34,166,5,Carrier C,10.8258568834,Supplier 2,Bangalore,27,1328,37,28.4053904824,Pass,2.354528720568538,Road,Route A,497.004548
skincare,SKU595,65.63,5,444,27542.172225,Unknown,127,18,30,6,Carrier B,14.3411222443,Supplier 5,Mumbai,56,1130,27,56.7701106819,Pending,2.618241932482239,Road,Route C,744.548084
haircare,SKU596,29.76,17,365,11538.542164,Female,108,55,187,13,Carrier C,5.5391892177,Supplier 1,Delhi,52,905,48,98.7392414954,Pending,4.312143261882678,Sea,Route B,485.302213
cosmetics,SKU597,91.6,38,205,19601.144987,Female,89,56,64,4,Carrier A,5.647709207,Supplier 5,Bangalore,27,479,56,32.7051063619,Fail,3.98160658067658,Air,Route A,423.894338
cosmetics,SKU598,54.45,69,970,52937.635066,Male,130,40,104,14,Carrier A,2.1964567659,Supplier 2,Kolkata,43,987,48,67.0896421532,Pending,3.207862140713844,Road,Route A,939.381146
skincare,SKU599,68.69,37,162,12037.989878,Unknown,18,14,49,1,Carrier C,16.588764513,Supplier 1,Delhi,47,1401,5,21.8860129692,Pass,2.197814826358011,Road,Route B,168.48999
haircare,SKU600,21.99,90,911,21226.622627,Female,175,3,82,9,Carrier B,4.4426947299,Supplier 2,Mumbai,55,574,9,37.9747090925,Pending,4.160473122603213,Air,Route C,940.472916
cosmetics,SKU601,80.84,27,248,21005.739667,Male,66,46,83,7,Carrier B,17.6289862845,Supplier 3,Mumbai,57,419,7,71.8257197247,Pending,2.91926305074624,Sea,Route A,816.567354
haircare,SKU602,58.67,75,624,35278.587395,Female,69,40,191,13,Carrier B,11.1215208187,Supplier 4,Mumbai,17,873,40,90.9507776098,Pending,2.019031077317412,Sea,Route C,763.135149
skincare,SKU603,20.91,28,663,13736.055185,Male,106,40,143,4,Carrier C,7.4342221575,Supplier 3,Chennai,48,931,17,85.6940484261,Pass,0.70440845443073,Road,Route C,540.276866
skincare,SKU604,27.74,89,347,8744.702502,Unknown,110,29,184,14,Carrier C,15.3906417683,Supplier 3,Delhi,29,409,42,32.9322939429,Pending,2.17894001707491,Road,Route A,140.276291
haircare,SKU605,28.81,64,506,13963.19402,Female,68,7,136,7,Carrier B,14.669934395,Supplier 1,Bangalore,40,1321,21,12.1344724275,Pass,2.09566802249677,Sea,Route B,179.313913
cosmetics,SKU606,71.71,78,4,305.214567,Female,113,45,150,14,Carrier C,11.2282010682,Supplier 5,Mumbai,9,375,42,58.7045403191,Pass,0.141654253847636,Rail,Route A,861.881044
skincare,SKU607,76.58,96,384,27950.580464,Male,16,7,116,4,Carrier A,7.6473721902,Supplier 3,Mumbai,29,859,56,64.195189245,Pass,3.930906092194797,Sea,Route A,752.850641
haircare,SKU608,80.2,66,5,395.283756,Non-binary,80,16,79,3,Carrier C,4.3867527352,Supplier 1,Delhi,31,1358,41,29.0136625244,Fail,4.880309488737983,Road,Route B,409.468218
skincare,SKU609,88.69,9,504,43652.975014,Female,99,32,138,9,Carrier A,8.5284749662,Supplier 3,Delhi,30,665,59,28.148969014,Pass,3.942713510326643,Rail,Route B,868.911385
skincare,SKU610,56.29,83,25,1384.522701,Non-binary,59,19,187,2,Carrier B,5.6607896241,Supplier 2,Bangalore,52,217,46,14.5058074384,Pending,0.38701692387622,Road,Route C,688.538224
cosmetics,SKU611,12.93,63,49,592.801263,Male,166,1,80,4,Carrier C,18.3372160304,Supplier 3,Chennai,14,1016,25,95.4201211199,Pending,1.184682171719218,Rail,Route B,357.729461
cosmetics,SKU612,54.95,4,88,4861.247488,Female,2,27,12,12,Carrier C,6.7174623901,Supplier 2,Mumbai,26,399,53,58.1320879227,Pass,2.546945823456689,Road,Route A,147.377901
haircare,SKU613,30.95,48,477,15180.631948,Male,93,38,143,13,Carrier C,18.5627325777,Supplier 2,Mumbai,17,463,29,79.9467318496,Pass,4.222605833023398,Road,Route B,345.995989
cosmetics,SKU614,38.82,57,971,41459.845064,Female,85,37,93,12,Carrier B,3.8247787102,Supplier 2,Bangalore,17,352,48,97.3515999365,Pending,1.622738385968437,Road,Route B,231.73576
haircare,SKU615,78.05,60,266,20263.838482,Male,80,33,40,2,Carrier B,13.5740235625,Supplier 4,Mumbai,8,1397,30,83.1863932556,Pending,4.629684861977896,Sea,Route A,851.775815
haircare,SKU616,66.63,48,446,27747.942669,Female,106,16,142,7,Carrier C,2.4789439091,Supplier 2,Chennai,51,1012,28,24.4176771885,Pass,3.767378270307623,Road,Route C,105.068181
haircare,SKU617,13.48,40,868,11703.801498,Non-binary,68,45,15,12,Carrier C,11.8651182489,Supplier 1,Kolkata,47,1368,58,29.3261612609,Pass,3.682726668143026,Air,Route A,440.17152
skincare,SKU618,17.88,50,577,9879.766742,Non-binary,30,43,86,2,Carrier C,16.627838238,Supplier 5,Delhi,24,571,33,74.8290624831,Pass,1.983490490156016,Road,Route C,945.197828
skincare,SKU619,16.65,92,589,10573.400727,Non-binary,100,57,66,2,Carrier C,19.3149309511,Supplier 4,Chennai,33,1108,15,47.6545003942,Pass,3.174873023977938,Rail,Route C,164.19069
haircare,SKU620,22.88,71,375,9071.708914,Non-binary,187,5,128,6,Carrier B,9.9347326212,Supplier 3,Mumbai,7,524,22,37.8982122792,Pending,1.249857936839543,Air,Route B,556.429494
cosmetics,SKU621,84.71,84,520,44773.199137,Female,93,27,42,10,Carrier B,17.0219788136,Supplier 1,Delhi,19,163,5,19.2155016514,Pass,0.266158512905151,Road,Route B,741.715152
haircare,SKU622,26.44,99,186,5363.308091,Female,66,41,180,5,Carrier A,18.931988895,Supplier 4,Delhi,58,1141,26,79.045132631,Fail,2.235277053549663,Road,Route B,457.19918
haircare,SKU623,36.92,21,830,27916.550707,Non-binary,75,9,48,8,Carrier A,5.3290205735,Supplier 5,Mumbai,9,896,54,12.0343995423,Pass,0.77134537926887,Sea,Route A,321.643661
cosmetics,SKU624,17.08,65,930,17028.864066,Unknown,165,26,130,8,Carrier C,9.0384349331,Supplier 3,Mumbai,17,948,36,39.7264757921,Fail,4.362300599704486,Road,Route A,960.913772
cosmetics,SKU625,67.89,66,843,61963.299497,Female,196,3,175,13,Carrier B,9.3177681659,Supplier 2,Delhi,28,393,21,70.1132026236,Pass,2.544172214256032,Road,Route C,804.156228
skincare,SKU626,62.5,53,933,55832.240011,Non-binary,175,10,126,8,Carrier B,8.0941926312,Supplier 5,Bangalore,43,1067,7,83.5533342089,Fail,1.282468225980368,Road,Route A,640.22773
haircare,SKU627,9.78,44,91,904.026827,Female,82,6,92,13,Carrier C,4.0383516555,Supplier 5,Bangalore,6,669,34,62.8461215322,Pass,1.635279602084125,Rail,Route A,922.996333
haircare,SKU628,86.8,90,978,83407.703323,Female,128,26,161,1,Carrier C,9.3344522457,Supplier 5,Kolkata,18,774,30,59.6816355066,Pass,3.720077653537585,Air,Route C,802.659457
haircare,SKU629,65.83,11,923,58890.951641,Non-binary,45,12,19,8,Carrier A,3.6771749301,Supplier 1,Mumbai,42,689,44,23.2121468579,Pass,0.096978422055209,Rail,Route C,252.734715
skincare,SKU630,78.54,29,330,27027.950054,Male,109,5,131,12,Carrier A,11.9303123022,Supplier 4,Bangalore,16,1148,7,85.7821796258,Pass,4.195135577423959,Road,Route C,559.054206
skincare,SKU631,45.19,72,550,22532.975089,Male,79,42,73,6,Carrier B,6.8290913791,Supplier 5,Mumbai,11,381,41,68.2702231376,Pass,3.900086479817735,Air,Route B,342.541045
haircare,SKU632,89.29,16,9,815.74776,Male,118,9,149,7,Carrier A,14.9137796522,Supplier 3,Delhi,12,529,10,77.988799056,Pass,2.389420496541777,Rail,Route B,258.063819
skincare,SKU633,80.65,31,210,17063.601997,Male,122,36,174,12,Carrier A,14.2171743155,Supplier 5,Mumbai,32,99,24,69.298000023,Fail,0.174930452448404,Road,Route A,327.569481
skincare,SKU634,11.33,45,265,3010.875367,Female,0,57,14,3,Carrier A,15.9127766844,Supplier 4,Kolkata,18,266,8,48.6271523764,Pass,1.2898727408037,Air,Route B,580.230757
haircare,SKU635,75.4,72,736,58572.143266,Male,70,12,162,3,Carrier B,7.9237874539,Supplier 4,Chennai,14,943,58,27.8569091074,Pass,3.960283960193484,Air,Route A,794.022443
skincare,SKU636,46.43,28,705,33411.591014,Male,99,46,22,1,Carrier C,7.8116449927,Supplier 3,Kolkata,50,550,16,81.0977283613,Pending,0.432796129618686,Air,Route A,553.396099
skincare,SKU637,96.59,12,71,7322.170511,Male,148,14,139,8,Carrier C,7.3094039257,Supplier 5,Chennai,37,1073,45,69.8958467881,Pending,3.644647068642655,Air,Route A,277.737653
cosmetics,SKU638,23.19,92,954,22197.756838,Female,31,22,34,12,Carrier B,15.7927131034,Supplier 2,Mumbai,44,83,42,42.8906336188,Pending,0.283975405644764,Rail,Route B,351.069575
haircare,SKU639,51.96,48,61,2979.608809,Male,154,28,89,4,Carrier A,14.6374503515,Supplier 1,Kolkata,32,1434,17,76.8457656509,Pass,2.373111797887485,Road,Route B,925.614011
skincare,SKU640,85.2,54,372,29593.154103,Non-binary,55,23,26,6,Carrier C,9.9592624052,Supplier 2,Kolkata,18,583,48,29.0825065452,Pass,2.175336895660555,Road,Route A,118.429375
skincare,SKU641,66.69,91,227,15377.630141,Unknown,0,41,57,4,Carrier A,2.9577921752,Supplier 2,Bangalore,27,512,30,52.5514010771,Fail,4.373781422240005,Rail,Route A,279.025624
haircare,SKU642,76.15,13,916,66314.571555,Female,181,34,37,2,Carrier B,11.8138686324,Supplier 2,Delhi,51,843,24,81.7439595234,Pass,1.599162433755504,Rail,Route C,700.214848
haircare,SKU643,54.99,49,923,50596.053754,Female,165,28,165,5,Carrier A,12.3946612111,Supplier 2,Chennai,50,675,15,61.1045300055,Pending,4.663133981090622,Rail,Route C,267.620444
skincare,SKU644,83.89,31,895,77097.529463,Female,83,39,101,6,Carrier C,19.1101763587,Supplier 3,Mumbai,39,399,21,52.3999319498,Pending,0.631824896460531,Sea,Route A,952.037124
skincare,SKU645,29.33,55,864,24494.281076,Non-binary,13,27,132,3,Carrier C,7.0243911565,Supplier 1,Delhi,48,1095,8,63.8119893037,Pass,0.170504698909931,Air,Route B,604.188462
skincare,SKU646,95.98,10,410,41313.379647,Male,187,8,128,2,Carrier C,3.8908098515,Supplier 1,Chennai,27,765,31,28.2049462982,Pass,2.528158869180896,Sea,Route B,905.595603
skincare,SKU647,40.69,69,609,26118.303085,Male,37,17,117,1,Carrier C,6.6922604561,Supplier 3,Delhi,50,249,39,12.2902428966,Fail,4.464785289551813,Sea,Route C,913.390535
skincare,SKU648,56.72,34,378,21215.56949,Male,161,19,154,5,Carrier A,14.8275167697,Supplier 5,Kolkata,12,1292,19,50.749131656,Pass,4.388098857501543,Rail,Route C,904.649145
cosmetics,SKU649,78.24,54,518,38937.348,Male,182,39,171,11,Carrier C,2.0799708435,Supplier 1,Kolkata,46,1409,29,41.3212018387,Pending,3.836975342482305,Road,Route B,744.556489
skincare,SKU650,77.4,81,208,15201.755219,Non-binary,123,44,36,14,Carrier A,8.9089589878,Supplier 1,Mumbai,53,533,21,57.9021226428,Fail,2.449009147266033,Road,Route B,732.72853
haircare,SKU651,27.2,35,579,16168.701355,Female,172,19,96,11,Carrier A,2.7906182617,Supplier 1,Kolkata,10,977,25,77.8854099732,Pass,1.254385182099502,Sea,Route C,165.6715
cosmetics,SKU652,50.89,78,56,2907.258448,Unknown,70,18,193,9,Carrier C,9.7461064111,Supplier 4,Bangalore,8,490,34,84.4645774247,Fail,0.335346835863691,Road,Route A,522.372697
cosmetics,SKU653,42.59,93,788,35439.114437,Male,26,56,34,4,Carrier A,17.8851710809,Supplier 5,Bangalore,28,121,32,47.5349712609,Pass,1.166633485306733,Sea,Route A,509.827721
cosmetics,SKU654,80.04,83,560,44991.006738,Non-binary,176,52,88,1,Carrier B,10.4648636848,Supplier 1,Kolkata,55,247,34,26.5898214089,Pass,3.815636268193143,Road,Route B,754.834009
skincare,SKU655,51.87,17,135,7550.118888,Female,34,51,56,4,Carrier C,9.0342654928,Supplier 5,Kolkata,25,417,5,11.6713646889,Pending,1.142234828546603,Sea,Route A,987.226139
skincare,SKU656,31.79,50,435,14099.496354,Female,50,42,121,5,Carrier A,14.7351191415,Supplier 5,Chennai,56,610,42,71.2835682979,Pending,4.4552255003356,Sea,Route A,660.264282
haircare,SKU657,51.06,79,535,26131.251402,Female,172,8,95,5,Carrier A,9.986638646,Supplier 1,Delhi,54,1181,24,56.1331832741,Pass,4.30395231807135,Air,Route B,971.822305
haircare,SKU658,34.5,65,281,9257.418263,Female,156,31,53,11,Carrier C,6.0673651821,Supplier 1,Bangalore,14,204,17,85.5144251271,Pending,1.619001998022421,Sea,Route B,930.19205
skincare,SKU659,30.97,30,278,8065.985931,Female,80,36,22,7,Carrier A,14.5556898482,Supplier 3,Bangalore,39,1309,41,45.8157750581,Pass,2.262170258518945,Road,Route B,801.184549
